Code,Type
HS-나17,대옹(원통)
HS-나17,호(경질무문)
HS-나17,호(경질무문)
HS-나17,호(경질무문)
HS-나17,호(경질무문)
HS-나17,호(경질무문)
HS-나17,뚜껑(경질무문)
HS-나17,파편(경질무문)
HS-나17,파편(경질무문)
HS-나17,파편(경질무문)
HS-나17,파편(경질무문)
HS-나17,파편(경질무문)
HS-나17,파편(경질무문)
HS-나17,호(타날문)
HS-나17,호(타날문)
HS-나17,호(타날문)
HS-나17,호(타날문)
HS-나17,장란형토기(타날문)
HS-나17,시루(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,파편(타날문)
HS-나17,철도자
HS-나17,철촉
HS-나17,철촉
HS-나17,방추차
HS-나17,연석
HS-나17,연석
GJA-31,대옹(난)
GJA-31,대옹(파편)
GJA-31,뚜껑(경질무문)
GJA-31,파편(경질무문)
GJA-31,호(타날문)
GJA-31,호(타날문)
GJA-31,옹(타날문)
GJA-31,동이(타날문)
GJA-31,뚜껑(타날문)
GJA-31,뚜껑(타날문)
GJA-31,파편(타날문)
GJA-31,파편(타날문)
GJA-31,파편(타날문)
GJA-31,파편(타날문)
GJA-31,*광구직구호
GJA-31,기대
GJA-20,대옹(첨저)
GJA-20,대옹(파편)
GJA-20,대옹(파편)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,호(타날문)
GJA-20,발(타날문)
GJA-20,장란형토기(타날문)
GJA-20,시루(타날문)
GJA-20,시루(타날문)
GJA-20,시루(타날문)
GJA-20,합(타날문)
GJA-20,뚜껑(타날문)
GJA-20,뚜껑(타날문)
GJA-20,뚜껑(타날문)
GJA-20,뚜껑(타날문)
GJA-20,파편(타날문)
GJA-20,파편(타날문)
GJA-20,철도자
GJA-20,철겸
GJA-20,철겸
GJA-20,철정
GJA-20,삽날
GJA-20,철부
GJA-20,미완석기
GJA-20,방추차
GJA-20,방추차
GJA-20,연석
YG-3,대옹(첨저)
YG-3,발(경질무문)
YG-3,파편(경질무문)
YG-3,파편(경질무문)
YG-3,파편(경질무문)
YG-3,파편(타날문)
YG-3,파편(타날문)
YG-3,점토대토기
YG-3,파편(공렬)
YG-3,파편(공렬)
YG-3,철서
YG-3,철부
YG-3,철부
YG-3,석검
YG-3,석촉
YG-3,석촉
YG-3,석부
YG-3,미완석기
YG-7,대옹(첨저)
JH-75,대옹(원통)
JH-75,대옹(파편)
JH-75,호(경질무문)
JH-75,호(경질무문)
JH-75,호(경질무문)
JH-75,호(경질무문)
JH-75,호(경질무문)
JH-75,발(경질무문)
JH-75,발(경질무문)
JH-75,뚜껑(경질무문)
JH-75,뚜껑(경질무문)
JH-75,뚜껑(경질무문)
JH-75,파편(경질무문)
JH-75,파편(경질무문)
JH-75,호(타날문)
JH-75,호(타날문)
JH-75,호(타날문)
JH-75,호(타날문)
JH-75,호(타날문)
JH-75,장란형토기(타날문)
JH-75,시루(타날문)
JH-75,파편(타날문)
JH-75,파편(타날문)
JH-75,파편(타날문)
JH-75,파편(타날문)
JH-75,파편(타날문)
JH-75,직구단경호(흑색)
JH-75,철촉
JH-75,철촉
JH-75,석촉
JH-75,지석
JH-75,방추차
JH-75,방추차
JH-5,대옹(원통)
JH-5,호(경질무문)
JH-5,호(경질무문)
JH-5,호(경질무문)
JH-5,뚜껑(경질무문)
JH-5,뚜껑(경질무문)
JH-5,파편(경질무문)
JH-5,파편(경질무문)
JH-5,호(타날문)
JH-5,호(타날문)
JH-5,호(타날문)
JH-5,호(타날문)
JH-5,호(타날문)
JH-5,발(타날문)
JH-5,발(타날문)
JH-5,파편(타날문)
JH-5,파편(타날문)
JH-5,철제고리
JH-5,반월형석도
JH-5,방추차
JH-5,방추차
JH-27,대옹(원통)
JH-27,호(경질무문)
JH-27,시루(경질무문)
JH-27,호(타날문)
JH-27,호(타날문)
JH-27,파편(타날문)
JH-42,대옹(원통)
JH-42,호(경질무문)
JH-42,파편(경질무문)
JH-42,호(타날문)
JH-42,장란형토기(타날문)
JH-42,시루(타날문)
JH-42,파편(타날문)
PN_197-다38,대옹(난)
PN_197-다38,대옹(난)
PN_197-다38,대옹(난)
PN_197-다38,대옹(난)
PN_197-다38,대옹(난)
PN_197-다38,호(타날문)
PN_197-다38,옹(타날문)
PN_197-다38,뚜껑(타날문)
PN_197-다38,청자(완)
PN_197-다38,불명(석기)
PN_197-다38,방추차
PN_197-다38,어망추
PN_197-다38,불명(토제품)
PN_경당-196,대옹(원통)
PN_경당-196,대옹(난)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,대옹(파편)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
PN_경당-196,호(타날문)
