Site,Code,Type,Pottery
파주 축현리 가마,(K)-CH,생산지,대옹(?)
파주 축현리 가마,(K)-CH,생산지,뚜껑(낙랑)
파주 다율동 9지점 가마,(K)-DY_9,생산지,호·옹
파주 다율동 9지점 가마,(K)-DY_9,생산지,발
파주 다율동 9지점 가마,(K)-DY_9,생산지,타날문토기편
파주 다율동 9지점 가마,(K)-DY_9,생산지,대옹(?)
파주 능산리 2지점 가마,(K)-NS_2,생산지,호·옹
파주 능산리 2지점 가마,(K)-NS_2,생산지,발
파주 능산리 2지점 가마,(K)-NS_2,생산지,반
파주 능산리 2지점 가마,(K)-NS_2,생산지,잔
파주 능산리 2지점 가마,(K)-NS_2,생산지,와질토기편
파주 와동리 Ⅱ B구역 가마,(K)-WD_Ⅱ_B,생산지,호·옹
파주 와동리 Ⅱ B구역 가마,(K)-WD_Ⅱ_B,생산지,타날문토기편
파주 와동리 Ⅱ B구역 가마,(K)-WD_Ⅱ_B,생산지,대옹(?)
파주 운정 5지점 가마,(K)-UJ_5,생산지,호·옹
파주 운정 5지점 가마,(K)-UJ_5,생산지,장란형토기
파주 운정 5지점 가마,(K)-UJ_5,생산지,동이
파주 운정 5지점 가마,(K)-UJ_5,생산지,대옹(?)
파주 운정 12지점 가마,(K)-UJ_12,생산지,호·옹
파주 운정 12지점 가마,(K)-UJ_12,생산지,대옹(?)
파주 목동동 라구역 가마,(K)-MD_ra,생산지,호·옹
파주 목동동 라구역 가마,(K)-MD_ra,생산지,대옹(?)
파주 목동동 마구역 가마,(K)-MD_ma,생산지,호·옹
파주 목동동 마구역 가마,(K)-MD_ma,생산지,대옹(?)
김포 학운리 가마,(K)-HU,생산지,호·옹
김포 학운리 가마,(K)-HU,생산지,대옹(?)
김포 사우동 가마,(K)-SU,생산지,호·옹
김포 사우동 가마,(K)-SU,생산지,토제품
김포 사우동 가마,(K)-SU,생산지,대옹(?)
인천 불로동 4구역 가마,(K)-BR_4,생산지,장란형토기
인천 불로동 4구역 가마,(K)-BR_4,생산지,자배기
인천 불로동 4구역 가마,(K)-BR_4,생산지,내박자
인천 불로동 4구역 가마,(K)-BR_4,생산지,뚜껑
인천 불로동 4구역 가마,(K)-BR_4,생산지,대옹(?)
인천 불로동 4구역 가마,(K)-BR_4,생산지,기와
인천 불로동 Ⅰ Ⅰ-6지점 가마,(K)-BR_Ⅰ_Ⅰ-6,생산지,호·옹
인천 불로동 Ⅰ Ⅰ-6지점 가마,(K)-BR_Ⅰ_Ⅰ-6,생산지,토제품
인천 불로동 Ⅰ Ⅰ-6지점 가마,(K)-BR_Ⅰ_Ⅰ-6,생산지,대옹(?)
인천 불로동 Ⅱ C구역 가마,(K)-BR_Ⅱ_C,생산지,토제도침
인천 불로동 Ⅱ C구역 가마,(K)-BR_Ⅱ_C,생산지,뚜껑
인천 불로동 Ⅱ C구역 가마,(K)-BR_Ⅱ_C,생산지,대옹(?)
인천 갈현동 가마,(K)-GH,생산지,호·옹
인천 갈현동 가마,(K)-GH,생산지,완
광명 소하동 가마,(K)-SH,생산지,동이
광명 소하동 가마,(K)-SH,생산지,광구단경호
광명 소하동 가마,(K)-SH,생산지,뚜껑(흑색마연)
광명 소하동 가마,(K)-SH,생산지,대옹(?)
시흥 은행동·계수동 가마,(K)-EHGS,생산지,개
시흥 은행동·계수동 가마,(K)-EHGS,생산지,세
시흥 은행동·계수동 가마,(K)-EHGS,생산지,호·옹
시흥 은행동·계수동 가마,(K)-EHGS,생산지,대옹(?)
화성 운평리 가마,(K)-UP,생산지,경질무문토기
화성 운평리 가마,(K)-UP,생산지,타날문토기편
화성 가재리 가마,(K)-GJ,생산지,호·옹
화성 가재리 가마,(K)-GJ,생산지,타날문토기편
화성 가재리 가마,(K)-GJ,생산지,대옹(?)
화성 수영리 가마,(K)-SY,생산지,타날문토기편
화성 수영리 가마,(K)-SY,생산지,대옹(?)
용인 서천동 가마,(K)-SC,생산지,완
용인 서천동 가마,(K)-SC,생산지,호·옹
용인 서천동 가마,(K)-SC,생산지,시루
용인 서천동 가마,(K)-SC,생산지,방추차
용인 서천동 가마,(K)-SC,생산지,대옹(?)
화성 청계리 가마,(K)-CG,생산지,호·옹
화성 청계리 가마,(K)-CG,생산지,시루
화성 청계리 가마,(K)-CG,생산지,발
화성 청계리 가마,(K)-CG,생산지,타날문토기편
화성 청계리 가마,(K)-CG,생산지,내박자
화성 청계리 가마,(K)-CG,생산지,대옹(?)
화성 요리 가마,(K)-Y,생산지,시루
화성 요리 가마,(K)-Y,생산지,기와
평택 가곡리 가마,(K)-GG,생산지,호·옹
평택 가곡리 가마,(K)-GG,생산지,분
평택 백봉리 가마,(K)-BB,생산지,타날문토기편
평택 백봉리 가마,(K)-BB,생산지,내박자
평택 현화리 가마,(K)-HH,생산지,경질토기편
평택 현화리 가마,(K)-HH,생산지,연질토기편
평택 도일동 가마,(K)-DI,생산지,시루
평택 도일동 가마,(K)-DI,생산지,연질토기편
안성 양변리 가마,(K)-YB,생산지,호·옹
안성 양변리 가마,(K)-YB,생산지,대옹(?)
안성 매산리 가마,(K)-MS,생산지,호·옹
안성 매산리 가마,(K)-MS,생산지,시루
아산 소동리 가마,(K)-SD,생산지,호·옹
아산 소동리 가마,(K)-SD,생산지,완
아산 소동리 가마,(K)-SD,생산지,발
아산 소동리 가마,(K)-SD,생산지,고배
아산 소동리 가마,(K)-SD,생산지,병
아산 소동리 가마,(K)-SD,생산지,파배
아산 소동리 가마,(K)-SD,생산지,기대
아산 소동리 가마,(K)-SD,생산지,벼루
아산 소동리 가마,(K)-SD,생산지,대옹(?)
아산 소동리 가마,(K)-SD,생산지,시루
아산 소동리 가마,(K)-SD,생산지,타날문토기편
아산 소동리 가마,(K)-SD,생산지,대옹(?)
가평 항사리 17호 주거지,(H)-HS_17,소비지,대옹(원통형)
가평 항사리 17호 주거지,(H)-HS_17,소비지,경질무문토기
가평 항사리 17호 주거지,(H)-HS_17,소비지,호·옹
가평 항사리 17호 주거지,(H)-HS_17,소비지,장란형토기
가평 항사리 17호 주거지,(H)-HS_17,소비지,시루
가평 항사리 17호 주거지,(H)-HS_17,소비지,타날문토기편
가평 항사리 17호 주거지,(H)-HS_17,소비지,방추차
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,대옹(난형)
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,경질무문토기
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,호·옹
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,동이
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,뚜껑
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,타날문토기편
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,광구직구호
광주 곤지암리 31호 주거지,(H)-GJA_31,소비지,기대
광주 곤지암리 20호 주거지,(H)-GJA_20,소비지,대옹(첨저형)
