유적명,유구명,대옹출토여부,권역
파주 축현리,1호,미출토,A
파주 축현리,2호,미출토,A
파주 축현리,3호,미출토,A
파주 축현리,4호,출토,A
파주 축현리,5호,미출토,A
파주 축현리,6호,미출토,A
파주 축현리,7호,미출토,A
파주 축현리,8호,미출토,A
파주 축현리,9호,미출토,A
파주 다율동 9지점,가1,출토,A
파주 다율동 9지점,가2,미출토,A
파주 다율동 9지점,가4,출토,A
파주 다율동 9지점,가5,미출토,A
파주 다율동 9지점,가6,출토,A
파주 다율동 9지점,가7,미출토,A
파주 다율동 9지점,가9,출토,A
파주 다율동 9지점,나17,출토,A
파주 다율동 9지점,나20,출토,A
파주 능산리 2지점,1호,미출토,A
파주 능산리 2지점,2호,미출토,A
파주 와동리II 2지점 B구역,1호,출토,A
파주 와동리II 2지점 B구역,2호,출토,A
파주 운정 5지점,1호,출토,A
파주 운정 5지점,2호,미출토,A
파주 운정 12지점,1호,출토,A
"파주 목동동 라,마 구역",라-1,출토,A
"파주 목동동 라,마 구역",마-1,출토,A
김포 학운리,1호,출토,A
김포 학운리,2호,미출토,A
김포 사우동,1호,출토,A
김포 사우동,2호,미출토,A
김포 사우동,3호,출토,A
인천 불로동 4구역,1호,출토,A
인천 불로동 I I-6지점,1호,미출토,A
인천 불로동II C구역,1호,미출토,A
인천 갈현동,1호,미출토,A
광명 소하동,1호,미출토,A
시흥 은행동·계수동,1호,미출토,A
시흥 은행동·계수동,2호,미출토,A
화성 운평리,1호,미출토,B
화성 가재리,1호,미출토,B
화성 가재리,2호,미출토,B
화성 가재리,3호,출토,B
화성 가재리,4호,출토,B
화성 수영리,1호,출토,B
화성 수영리,2호,출토,B
용인 서천동,1호,미출토,B
용인 농서리,1호,출토,B
용인 농서리,2호,출토,B
용인 농서리,3호,출토,B
용인 농서리,4호,출토,B
화성 청계리,1호,출토,B
화성 청계리,2호,출토,B
화성 청계리,3호,출토,B
화성 청계리,4호,출토,B
화성 청계리,5호,출토,B
화성 청계리,6호,출토,B
화성 청계리,7호,미출토,B
화성 요리,1호,미출토,B
화성 요리,2호,미출토,B
평택 가곡리,1호,미출토,B
평택 백봉리,1호,미출토,B
평택 현화리,1호,미출토,B
평택 도일동,1호,미출토,B
평택 도일동,2호,미출토,B
평택 도일동,3호,미출토,B
안성 양변리,1호,미출토,B
안성 매산리,1호,미출토,B
원주 만종리,1호,미출토,기타
원주 만종리,2호,출토,기타
원주 만종리,3호,미출토,기타
원주 만종리,4호,미출토,기타
