유구명,소성실길이,소성실폭,소성실면적,소성실장단비,대옹출토여부,평면형태
파주 축현리(약식) 1호,760,260 ,197600,2.9,X,장타원형
파주 축현리(약식) 2호,450,160 ,72000,2.8,X,장타원형
파주 축현리(약식) 3호,600,230 ,138000,2.6,X,장타원형
파주 축현리(약식) 4호,590,210 ,123900,2.8,O,장타원형
파주 축현리(약식) 5호,470,260 ,122200,1.8,X,장타원형
파주 축현리(약식) 6호,490,180 ,88200,2.7,X,장타원형
파주 축현리(약식) 7호,370,220 ,81400,1.7,X,마제형
파주 축현리(약식) 8호,,,,,X,장타원형
파주 축현리(약식) 9호,560,180 ,100800,3.1,X,장타원형
파주 다율동 9지점(약식 15) 가1,,195 ,,,O,장타원형
파주 다율동 9지점(약식 15) 가2,,124 ,,,X,장타원형
파주 다율동 9지점(약식 16) 가4,614,228 ,139992,2.7,O,장타원형
파주 다율동 9지점(약식 16) 가5,340,175 ,59500,1.9,X,장타원형
파주 다율동 9지점(약식 16) 가6,444,200 ,88800,2.22,O,장타원형
파주 다율동 9지점(약식 16) 가7,613,192 ,117696,3.2,X,장타원형
파주 다율동 9지점(약식 16) 가9,650,214 ,139100,3,O,장타원형
파주 다율동 9지점(약식 15) 나17,,186 ,,,O,마제형
파주 다율동 9지점(약식 15) 나20,,177 ,,,O,장타원형
파주 능산리 2지점 1호,360,228 ,82080,1.6,X,타원형
파주 능산리 2지점 2호,436,168 ,73248,2.6,X,장타원형
파주 와동리II 2지점 B구역 1호,302,158 ,47716,1.9,O,장타원형
파주 와동리II 2지점 B구역 2호,439,180 ,79020,2.4,O,장타원형
파주 운정 5지점 1호,771,197 ,151887,3.9,O,장타원형
파주 운정 5지점 2호,210,184 ,38640,1.1,X,장타원형
파주 운정 12지점 1호,385,153 ,58905,2.5,O,장타원형
파주 목동동 라구역 1호,761,198 ,150678,3.8,O,주형
파주 목동동 마구역 1호,236,178 ,42008,1.3,O,주형
김포 학운리 1호,332,192 ,63744,1.7,O,타원형
김포 학운리 2호,226,136 ,30736,1.7,X,타원형
김포 사우동(약식) 1호,,180 ,,,O,미상
김포 사우동(약식) 2호,,132 ,,,X,장타원형
김포 사우동(약식) 3호,,168 ,,,O,장타원형
인천 불로동 4구역 1호,432,184 ,79488,2.3,O,주형
인천 불로동 I I-6지점 1호,190,180 ,34200,1.1,X,선저형
인천불로동II C구역1호,396,196 ,77616,2,X,선저형
인천 갈현동 1호,224,168 ,37632,1.3,X,미상
광명 소하동 1호,310,139 ,43090,2.2,O,타원형
시흥 은행동·계수동 1호,233,175 ,40775,1.3,X,장타원형
시흥 은행동·계수동 2호,228,152 ,34656,1.5,X,미상
화성 운평리 1호,325,110 ,35750,3,X,장타원형
화성 가재리 1호,,110 ,,,X,장타원형
화성 가재리 2호,,115 ,,,X,미상
화성 가재리 3호,,110 ,,,O,미상
화성 가재리 4호,256,126 ,32256,2,O,장타원형
화성 수영리 1호,,,,,O,장타원형
화성 수영리 2호,,,,,O,장타원형
용인 서천동 1호,,,,,X,제형
용인 농서리 1호,390,174 ,67860,2.2,O,제형
용인 농서리 2호,390,140 ,54600,2.8,O,장타원형
용인 농서리 3호,,,,,O,미상
용인 농서리 4호,,,,,O,미상
화성 청계리 1호,420,136 ,57120,3.1,O,장타원형
화성 청계리 2호,434,168 ,72912,2.6,O,장타원형
화성 청계리 3호,405,130 ,52650,3.1,O,장타원형
화성 청계리 4호,353,150 ,52950,2.4,O,장타원형
화성 청계리 5호,386,130 ,50180,3,O,장타원형
화성 청계리 6호,,,,,O,장타원형
화성 청계리 7호,,,,,X,미상
화성 요리 1호,406,165 ,66990,2.5,X,장타원형
화성 요리 2호,,,,,X,미상
평택 가곡리 1호,267,143 ,38181,1.9,X,장타원형
평택 백봉리 1호,,,,,X,미상
평택 현화리 1호,,,,,X,제형
평택 도일동 1호,,,,,X,미상
평택 도일동 2호,,120 ,,,X,미상
평택 도일동 3호,174,178 ,30972,1,X,타원형
안성 양변리 1호,318,244 ,77592,1.3,X,타원형
안성 매산리 1호,190,150 ,28500,1.3,X,장타원형
원주 만종리 1호,,,,,X,장타원형
원주 만종리 2호,,,,,X,장타원형
원주 만종리 3호,,,,,X,장타원형
원주 만종리 4호,,,,,X,장타원형
