유적명,유구,대옹출토여부,대옹 아기종,출토위치,유역,유구성격
인천 중산동 8-3지역 ,2호 주거지,○,,,한강하류,주거지
인천 중산동 8-3지역 ,4호 주거지,○,,,한강하류,주거지
인천 중산동 11지역,1호 분구묘,●,원통,주구 내부,한강하류,분묘
인천 중산동 11지역,2호 분구묘,●,,주구 내부,한강하류,분묘
인천 중산동 4구역 ,1호 주거지 ,●,원통,,한강하류,주거지
인천 운남동 A지구 ,2호 주거지 ,●,원통(3),,한강하류,주거지
인천 운남동 A지구 ,패총,●,원통,,한강하류,기타
인천 운남동 A지구 ,유물포함층,○,,,한강하류,기타
인천 운남동 B지구 ,1호 주거지 ,●,원통,,한강하류,주거지
인천 운남동 B지구 ,유물포함층,○,,,한강하류,기타
김포 학운리 1-2지점 ,1호 수혈유구,○,,,한강하류,수혈
인천 연희동 1-5지점,1호 주거지,○,,,한강하류,주거지
인천 연희동 1-5지점,1호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 1-5지점,2호 분구묘,●,원통,"주구 내부, 목관 환두도",한강하류,분묘
인천 연희동 1-5지점,4호 구상유구,○,,,한강하류,구상유구
인천 연희동 3-1지점,1호 주거지,○,,,한강하류,주거지
인천 연희동 3-1지점,10호 분구묘,●,원통,"주구 내부, 목관 환두도",한강하류,분묘
인천 연희동 3-1지점,13호 분구묘,○,,"주구 내부, 이형토기 공반",한강하류,분묘
인천 연희동 3-1지점,16호 분구묘,○,,"주구 내부, 유개대부호 뚜껑? 공반",한강하류,분묘
인천 연희동 3-1지점,21호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-1지점,23호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-1지점,25호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-1지점,31호 수혈유구,○,,,한강하류,수혈
인천 연희동 3-1지점,40호 수혈유구,○,,,한강하류,수혈
인천 연희동 3-1지점,20호 구상유구,○,,,한강하류,구상유구
인천 연희동 3-2지점,2호 주거지,○,,,한강하류,주거지
인천 연희동 3-2지점,3호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-2지점,13호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-2지점,14호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-2지점,20호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-2지점,21호 분구묘,○,,주구 내부,한강하류,분묘
인천 연희동 3-2지점,54호 수혈유구,○,,,한강하류,수혈
인천 연희동 3-2지점,115호 수혈유구,○,,,한강하류,수혈
인천 연희동 3-2지점,117호 수혈유구,○,,,한강하류,수혈
인천 연희동 3-2지점,15호 구상유구,○,,,한강하류,구상유구
인천 연희동 3-2지점,17호 구상유구,●,원통,,한강하류,구상유구
인천 연희동 3-2지점,23호 구상유구,○,,,한강하류,구상유구
인천 연희동 3-2지점,42호 구상유구,○,,,한강하류,구상유구
인천 연희동 3-2지점,80호 구상유구,○,,,한강하류,구상유구
인천 연희동 3-2지점,178호 주혈,○,,,한강하류,기타
인천 구월동 6지점 ,6호 주거지,○,,,한강하류,주거지
인천 구월동 6지점 ,3호 수혈,●,기타,플라스크형 수혈 2기,한강하류,수혈
인천 구월동 6지점 ,8호 수혈,○,,,한강하류,수혈
